"Time.ms","hearing_status_participant","value_cat","mean_prop_looking","ci_low","ci_high"
"3133","hearing","Distractor",0.157995386256256,0.0854326772261555,0.0874998129889434
"3133","hearing","Signer",0.448915450174031,0.0889320401820402,0.0973362507058158
"3133","hearing","Target",0.393089163569713,0.0846943578922984,0.0896877645619064
"3167","deaf","Distractor",0.152154356060606,0.0510081845238095,0.0549850344967532
"3167","deaf","Signer",0.489222582972583,0.108704906204906,0.0939490327380954
"3167","deaf","Target",0.358623060966811,0.0999469866071429,0.107341720779221
"3167","hearing","Distractor",0.150738236122852,0.0776164412510566,0.0836696956889264
"3167","hearing","Signer",0.454186463070462,0.0931222542786088,0.0948548064914022
"3167","hearing","Target",0.395075300806686,0.0918944476576056,0.0929791116587455
"3200","deaf","Distractor",0.142950477830993,0.0473066960612917,0.0478402873933664
"3200","deaf","Signer",0.501830093925682,0.10061625644576,0.0935605371956475
"3200","deaf","Target",0.355219428243325,0.0904422767795929,0.105343659480838
"3200","hearing","Distractor",0.145204795204795,0.0756505994005994,0.0833341658341658
"3200","hearing","Signer",0.471040426646834,0.0852116120594381,0.0936742154362292
"3200","hearing","Target",0.383754778148371,0.0809759868913187,0.0876045099700705
"3233","deaf","Distractor",0.158706992602453,0.0474626395290558,0.0479213458243589
"3233","deaf","Signer",0.503782036910234,0.108728358837454,0.0983420232261345
"3233","deaf","Target",0.337510970487313,0.0980799531351002,0.0991157682763741
"3233","hearing","Distractor",0.144560118244329,0.0810680547522653,0.0848627980206928
