"Time.ms","age_group","value_cat","mean_prop_looking","ci_low","ci_high"
"2200","Adults","Target",0.483566464192942,0.159702666311854,0.17353279385381
"2233","< 27 Months","Distractor",0.143566944615081,0.0715660288641655,0.0797945153535216
"2233","< 27 Months","Signer",0.360518005976081,0.117836192447994,0.112264092231095
"2233","< 27 Months","Target",0.495915049408838,0.0698205564276993,0.0675793745591882
"2233",">= 27 Months","Distractor",0.0973383838383838,0.0407060606060606,0.0424537457912458
"2233",">= 27 Months","Signer",0.286993321588781,0.092078732587311,0.121185957615369
"2233",">= 27 Months","Target",0.615668294572835,0.116476587512552,0.0993516997459979
"2233","Adults","Distractor",0.01046918767507,0.01046918767507,0.0130952380952381
"2233","Adults","Signer",0.509228194195023,0.166252902941336,0.172550473750682
"2233","Adults","Target",0.480302618129907,0.174470572484814,0.175832006504278
"2267","< 27 Months","Distractor",0.158711484593838,0.0724821428571429,0.0831029411764706
"2267","< 27 Months","Signer",0.357875816993464,0.120899276377218,0.126360177404295
"2267","< 27 Months","Target",0.483412698412698,0.0968648459383754,0.0757560690943043
"2267",">= 27 Months","Distractor",0.0941777586342804,0.0386287615363702,0.0428371841524016
"2267",">= 27 Months","Signer",0.290731477167965,0.0982292031442714,0.12555515536254
"2267",">= 27 Months","Target",0.615090764197755,0.129107378986695,0.107367705301156
"2267","Adults","Distractor",0.0105248917748918,0.0105248917748918,0.0133928571428571
"2267","Adults","Signer",0.520725281809365,0.1673361657246,0.162516759444945
"2267","Adults","Target",0.468749826415743,0.158399726623294,0.170284669931027
"2300","< 27 Months","Distractor",0.169590843330339,0.0746714297607155,0.0812970118117177
"2300","< 27 Months","Signer",0.353571638445588,0.12113609604681,0.126510217723453
"2300","< 27 Months","Target",0.476837518224073,0.0887024809923969,0.0728049628942486
"2300",">= 27 Months","Distractor",0.112753469415873,0.0422591376251862,0.0446550333132814
"2300",">= 27 Months","Signer",0.290324801418152,0.0969614213933268,0.117410907424015
"2300",">= 27 Months","Target",0.596921729165975,0.111015634514675,0.108641481263124
"2300","Adults","Distractor",0.0128110888752053,0.0107277555418719,0.0132395095699918
"2300","Adults","Signer",0.52562666618606,0.180542839260131,0.176303513946413
"2300","Adults","Target",0.461562244938735,0.164247421705919,0.173964785207016
"2333","< 27 Months","Distractor",0.169724921068906,0.0796567107704326,0.0832367393727826
"2333","< 27 Months","Signer",0.36247855840901,0.128118713992774,0.124091880472285
"2333","< 27 Months","Target",0.467796520522084,0.0787336034892426,0.0805466995410604
"2333",">= 27 Months","Distractor",0.119030009951063,0.0368486484275958,0.037460374664322
"2333",">= 27 Months","Signer",0.295704957810221,0.0907455561008193,0.104308137890375
"2333",">= 27 Months","Target",0.585265032238716,0.117015129363814,0.0979911232773075
"2333","Adults","Distractor",0.0127304147465438,0.0109447004608295,0.0136232718894009
"2333","Adults","Signer",0.534534711582979,0.167257163932952,0.178718038891382
"2333","Adults","Target",0.452734873670477,0.167958669448463,0.168830267618581
"2367","< 27 Months","Distractor",0.14775730535129,0.074439636178358,0.0830560673662177
"2367","< 27 Months","Signer",0.37004182847228,0.124066096732215,0.118132211538461
"2367","< 27 Months","Target",0.48220086617643,0.0983103362802611,0.10906166084855
"2367",">= 27 Months","Distractor",0.123326565247618,0.0390141981556455,0.039165029342003
"2367",">= 27 Months","Signer",0.285939094044357,0.089568666421298,0.109618733216102
"2367",">= 27 Months","Target",0.590734340708025,0.11168504784689,0.0930095899957742
"2367","Adults","Distractor",0.0130039837701128,0.0109878547378547,0.0136033312192586
"2367","Adults","Signer",0.549290177698131,0.179638363046699,0.178269983169768
"2367","Adults","Target",0.437705838531756,0.164621223107527,0.16769740747758
"2400","< 27 Months","Distractor",0.138535501613233,0.0699182819981139,0.0835213665885935
"2400","< 27 Months","Signer",0.403843751952996,0.104037281579298,0.110645119353102
"2400","< 27 Months","Target",0.457620746433772,0.0860304443747196,0.088550965257898
"2400",">= 27 Months","Distractor",0.125855280197385,0.037255652364205,0.0416329503829504
"2400",">= 27 Months","Signer",0.284935383101018,0.08297290733146,0.102950479330897
"2400",">= 27 Months","Target",0.589209336701597,0.10387597140132,0.0899762666670563
"2400","Adults","Distractor",0.01079075957413,0.01079075957413,0.0151011044017162
"2400","Adults","Signer",0.560996961382894,0.177884020870881,0.162855749273701
"2400","Adults","Target",0.428212279042976,0.167825781364596,0.166822848722442
"2433","< 27 Months","Distractor",0.1213488472312,0.0673069227691076,0.0745136054421768
"2433","< 27 Months","Signer",0.424088789361899,0.106944452781112,0.117341907917013
"2433","< 27 Months","Target",0.454562363406901,0.0853069977991196,0.0847900660264105
"2433",">= 27 Months","Distractor",0.130801494659551,0.0412699561095341,0.0417083387461264
"2433",">= 27 Months","Signer",0.287947453749244,0.0792283988697671,0.088503713683541
"2433",">= 27 Months","Target",0.581251051591205,0.101415491921406,0.0925526314762248
"2433","Adults","Distractor",0.0103709508881923,0.0103709508881923,0.0124108542319749
"2433","Adults","Signer",0.566004816608106,0.16835334136338,0.171826988889425
"2433","Adults","Target",0.423624232503701,0.16438113414765,0.174655764245521
"2467","< 27 Months","Distractor",0.121700215848823,0.0633502681774464,0.0794322114810836
"2467","< 27 Months","Signer",0.424609699480332,0.115119190219948,0.119216364278505
"2467","< 27 Months","Target",0.453690084670845,0.0894894457783113,0.101475645217601
"2467",">= 27 Months","Distractor",0.134714128781634,0.0418517491968579,0.0413140466036633
"2467",">= 27 Months","Signer",0.304541328871992,0.0795890479445971,0.0997118258150866
"2467",">= 27 Months","Target",0.560744542346373,0.0879395764789072,0.0801140535930295
"2467","Adults","Distractor",0.0107142857142857,0.0107142857142857,0.0130952380952381
"2467","Adults","Signer",0.578496690199118,0.178969673763855,0.167355813464265
"2467","Adults","Target",0.410789024086596,0.15124216783816,0.169346042883604
"2500","< 27 Months","Distractor",0.120888663157571,0.0663550420168067,0.076530612244898
"2500","< 27 Months","Signer",0.427166687187696,0.126328310170222,0.11566006402561
"2500","< 27 Months","Target",0.451944649654734,0.0932468237294918,0.0933863994315675
"2500",">= 27 Months","Distractor",0.137481456165667,0.0464878452444242,0.0465169077998025
"2500",">= 27 Months","Signer",0.311037087668667,0.0763554735956052,0.098981508063087
"2500",">= 27 Months","Target",0.551481456165667,0.095115941368573,0.0826072991822993
"2500","Adults","Distractor",0.0106470814132104,0.0106470814132104,0.0110831893241167
"2500","Adults","Signer",0.582257599388322,0.165449016031144,0.160510219634449
"2500","Adults","Target",0.407095319198468,0.154959205369536,0.165289950615663
"2533","< 27 Months","Distractor",0.116619647859144,0.0671259503801521,0.0822734093637454
"2533","< 27 Months","Signer",0.434281712685074,0.120535214085634,0.130097038815526
"2533","< 27 Months","Target",0.449098639455782,0.10959506302521,0.110924519807923
"2533",">= 27 Months","Distractor",0.138180332253559,0.0502671711393107,0.0491639040783777
"2533",">= 27 Months","Signer",0.32841378838478,0.0749905761118677,0.0916035902503293
"2533",">= 27 Months","Target",0.533405879361661,0.0776418081139258,0.0778515294256529
"2533","Adults","Distractor",0.0107758620689655,0.0107758620689655,0.0129310344827586
"2533","Adults","Signer",0.589083240224096,0.158852014854388,0.168164178513666
"2533","Adults","Target",0.400140897706938,0.161350596785986,0.17093748854719
"2567","< 27 Months","Distractor",0.115064487333395,0.0665732959850607,0.0814087686356594
"2567","< 27 Months","Signer",0.444816259837268,0.119550403494731,0.128065976390556
"2567","< 27 Months","Target",0.440119252829337,0.103477766106443,0.10529457937021
"2567",">= 27 Months","Distractor",0.125874061526235,0.0473089800698496,0.0516282493673798
"2567",">= 27 Months","Signer",0.341064663195098,0.0832130115858377,0.0903969409415062
"2567",">= 27 Months","Target",0.533061275278667,0.0951564271075142,0.0852881558859819
"2567","Adults","Distractor",0.00847701149425287,0.00847701149425287,0.012503591954023
"2567","Adults","Signer",0.604655095731297,0.167514454528096,0.162770599842965
"2567","Adults","Target",0.38686789277445,0.161475578740623,0.16228442471569
"2600","< 27 Months","Distractor",0.110320484469091,0.0622193492781728,0.0728466528311729
"2600","< 27 Months","Signer",0.439853876773381,0.115439425770308,0.137009605461618
"2600","< 27 Months","Target",0.449825638757527,0.100070871465995,0.111916109561233
"2600",">= 27 Months","Distractor",0.134001115843221,0.055295340624288,0.058581415660363
"2600",">= 27 Months","Signer",0.343656828780668,0.0778202807970609,0.0837076175028961
"2600",">= 27 Months","Target",0.522342055376111,0.0805466008306566,0.0732077955584148
"2600","Adults","Distractor",0.00862068965517241,0.00862068965517241,0.0129310344827586
"2600","Adults","Signer",0.61136471469759,0.161964495042779,0.163762285861119
"2600","Adults","Target",0.380014595647238,0.14941413826947,0.173983139478509
"2633","< 27 Months","Distractor",0.123557422969188,0.0580990896358543,0.0612335434173669
"2633","< 27 Months","Signer",0.455796985460851,0.119465752967854,0.122496765372816
"2633","< 27 Months","Target",0.420645591569961,0.0936112945178072,0.0991525776977457
"2633",">= 27 Months","Distractor",0.129276062102149,0.0562845397356267,0.057419644968558
"2633",">= 27 Months","Signer",0.351135855477288,0.0733353942696974,0.083369309186125
"2633",">= 27 Months","Target",0.519588082420563,0.0823885771091653,0.0853447491518144
"2633","Adults","Distractor",0.00863095238095238,0.00863095238095238,0.012797619047619
